State,ALMONDS,APPLES,APRICOTS,ARTICHOKES,ASPARAGUS,AVOCADOS,BARLEY,"BARLEY, FEED","BARLEY, MALTING","BEANS, DRY EDIBLE, INCL CHICKPEAS","BEANS, SNAP","BLUEBERRIES, TAME","BLUEBERRIES, WILD",BROCCOLI,CABBAGE,CANOLA,CARROTS,CAULIFLOWER,CELERY,"CHERRIES, SWEET","CHERRIES, TART",CHICKPEAS,"CHICKPEAS, LARGE","CHICKPEAS, SMALL",COFFEE,"CORN, GRAIN","COTTON, COTTONSEED","COTTON, PIMA","COTTON, UPLAND",CRANBERRIES,CUCUMBERS,DATES,FLAXSEED,GARLIC,GRAPEFRUIT,"GRAPEFRUIT, RED SEEDLESS","GRAPEFRUIT, WHITE SEEDLESS",GRAPES,"GRAPES, JUICE TYPE","GRAPES, RAISIN TYPE","GRAPES, TABLE TYPE","GRAPES, WINE TYPE",HAY,"HAY, (EXCL ALFALFA)","HAY, ALFALFA",HAZELNUTS,HOPS,KIWIFRUIT,LEMONS,LENTILS,"LETTUCE, HEAD","LETTUCE, LEAF","LETTUCE, ROMAINE",MACADAMIAS,"MELONS, CANTALOUP","MELONS, HONEYDEW","MELONS, WATERMELON","MILLET, PROSO","MINT, PEPPERMINT, OIL","MINT, SPEARMINT, OIL",NECTARINES,OATS,OLIVES,"OLIVES, , CANNED","OLIVES, , CRUSHED","OLIVES, , LIMITED","ONIONS, DRY",ORANGES,"ORANGES, MID & NAVEL","ORANGES, VALENCIA",PAPAYAS,PEACHES,"PEACHES, CLINGSTONE","PEACHES, FREESTONE",PEANUTS,PEARS,"PEAS, DRY EDIBLE","PEAS, GREEN",PECANS,"PECANS, NATIVE & SEEDLING","PEPPERS, BELL","PEPPERS, CHILE",PISTACHIOS,PLUMS,POTATOES,PRUNES,PUMPKINS,RASPBERRIES,RICE,"RICE, MEDIUM",RYE,SAFFLOWER,"SORGHUM, GRAIN",SOYBEANS,SPINACH,SQUASH,STRAWBERRIES,SUGARBEETS,"SUGARCANE, SUGAR",SUNFLOWER,"SUNFLOWER, NON","SUNFLOWER, OIL TYPE",SWEET CORN,SWEET POTATOES,TANGERINES,TOBACCO,"TOBACCO, AIR","TOBACCO, CIGAR FILLER PA SEED LEAF (TYPE 41)","TOBACCO, FIRE","TOBACCO, FLUE",TOMATOES,"WALNUTS, ENGLISH",WHEAT,"WHEAT, SPRING, (EXCL DURUM)","WHEAT, SPRING, DURUM","WHEAT, WINTER"
ALABAMA,,,,,,,,,,,,,,,,,,,,,,,,,,142.5,120.0,,1206.0,,,,,,,,,,,,,,87.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.0,,,,,,,,,,,,,,,,,,,325.0,,,,,,,,,,,,,,,,,,,180.35714285714286,,,180.35714285714286
ALASKA,,,,,,,185.71428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.0,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARIZONA,,,,,,,148.21428571428572,,,,,,,1440.0,,,,1488.0,,,,,,,,192.85714285714286,254.0,,1141.9999999999998,,,6580.0,,,,,,,,,,,204.0,200.0,205.0,,,,1500.0,,857.9999999999999,2058.0,885.9999999999999,,544.0,,273.99999999999994,,,,,,,,,,,,,,,,,,,,,,3779.9999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.07142857142858,,236.07142857142858,
ARKANSAS,,,,,,,,,,,,,,,,,,,,,,,,,,137.85714285714286,174.0,,1224.0,,,,,,,,,,,,,,108.0,108.0,192.0,,,,,,,,,,,,,,,,,99.99999999999999,,,,,,,,,,,,,396.0,,,,,,,,,,,,,,238.0,,,,,316.7857142857143,,,,,,,,,,,,,,,,,,,182.85714285714286,,,182.85714285714286
CALIFORNIA,4900.0,532.3333333333334,923.0,1560.0,4040.0,3440.0,164.64285714285714,165.0,,1192.0,1340.0,4466.666666666667,,829.3333333333334,630.0,,554.0,1100.0,604.0,2633.3333333333335,,,,,,164.28571428571428,301.0,,,,641.6666666666666,2860.0,,1852.6666666666667,703.8235294117646,,,926.6666666666666,,569.3333333333334,821.3333333333334,972.0,192.0,150.0,204.0,,,1820.0,1362.6315789473683,,604.0,820.0,550.0,,383.99999999999994,426.0,412.0,,,,980.0,,788.0,1040.0,698.0,720.0,313.6666666666667,629.7368421052631,671.3157894736842,457.8947368421053,,720.6666666666666,470.0,768.3333333333334,,379.3333333333333,,,,,925.0,717.9999999999999,5620.0,941.6666666666666,330.0,1400.0,382.0,5380.0,436.0,432.0,,430.0,,,1059.3333333333333,802.0,2200.0,48.6,,540.0,483.99999999999994,542.0,570.0,414.0,1908.3999999999996,,,,,,348.0,1890.0,212.5,,231.78571428571428,206.42857142857144
COLORADO,,,,,,,173.92857142857142,119.64285714285714,175.35714285714286,727.9999999999999,,,,,,,,,,,,,,,,131.42857142857144,,,,,,,,,,,,,,,,,231.0,228.0,231.0,,,,,,,,,,,,,202.5,,,,,,,,,333.99999999999994,,,,,2300.0,,,,,,,,,,,,,262.0,,,,,,,,99.0,,,,,16.9,,377.99999999999994,416.0,366.0,,,,,,,,,,,143.2142857142857,,,143.2142857142857
CONNECTICUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,173.0,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELAWARE,,,,,,,119.64285714285714,,,,,,,,,,,,,,,,,,,153.57142857142856,,,,,,,,,,,,,,,,,160.0,145.0,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.2142857142857,,,,,,,,,,,,,,,,,,,176.78571428571428,,,176.78571428571428
FLORIDA,,,,,,928.0,,,,,784.0,5280.0,,,400.0,,,,,,,,,,,156.78571428571428,120.0,,1178.0,,482.0,,,,984.5714285714286,970.9285714285714,1091.142857142857,,,,,,151.0,151.0,,,,,,,,,,,386.0,,360.0,,,,,,,,,,,759.6677740863787,731.3621262458472,771.8936877076412,,,,,402.0,,,,,,1301.9999999999998,,,,426.0,,,,,,,,,,,875.9999999999999,3040.0,,36.7,,,,600.0,,1046.5116279069766,,,,,,1102.0,,,,,
GEORGIA,,,,,,,,,,,1058.0,2513.3333333333335,,,326.0,,,,,,,,,,,161.78571428571428,115.0,,1226.0,,420.0,,,,,,,,,,,,84.0,84.0,,,,,,,,,,,352.0,,250.0,,,,,146.42857142857142,,,,,970.0,,,,,1120.0,,,390.0,,,,3759.9999999999995,,840.0,,,,,,,,,,,,,319.6428571428571,,855.9999999999999,,,,,,,492.0,,,3860.0,,,,3860.0,,,175.0,,,175.0
HAWAII,,,,,,2450.0,,,,,,,,,,,,,,,,,,,24146.666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDAHO,,,,,,,179.28571428571428,122.85714285714285,183.2142857142857,594.0,,,,,,,,,,,,300.0,366.0,258.0,,159.64285714285714,,,,,,,,,,,,,,,,,157.0,145.0,158.0,,10500.0,,,367.99999999999994,,,,,,,,,37200.0,,,116.78571428571428,,,,,148.0,,,,,,,,,,,,,,,,,,161.86666666666665,,,,,,,367.99999999999994,,,,,,50.9,,,,,,,,,,,,,,,179.64285714285714,181.42857142857142,206.78571428571428,178.57142857142856
ILLINOIS,,,,,,,,,,,570.3333333333334,,,,,,,,,,,,,,,126.78571428571428,,,,,,,,,,,,,,,,,161.0,128.0,176.0,,,,,,,,,,,,,,,,,146.42857142857142,,,,,,,,,,,,,,,,,,,,,,,,,162.99999999999997,,,,,,,315.7142857142857,,,,,,,,,278.1333333333333,,,,,,,,,,180.7142857142857,,,180.7142857142857
INDIANA,,,,,,,,,,,,,,,,,,,,,,,,,,137.14285714285714,,,,,,,,,,,,,,,,,178.0,140.0,215.0,,,,,,,,,,,,303.99999999999994,,44600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.0,,,,,,,318.57142857142856,,,,,,,,,,,,,,,,,,,176.78571428571428,,,176.78571428571428
IOWA,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,124.0,103.0,130.0,,,,,,,,,,,,,,,,,126.07142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.8571428571429,,,,,,,,,,,,,,,,,,,,,,
KANSAS,,,,,,,87.5,,,,,,,,,233.99999999999997,,,,,,,,,,127.14285714285714,170.0,,1206.0,,,,,,,,,,,,,,127.0,98.0,140.0,,,,,,,,,,,,,,,,,121.42857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,295.71428571428567,,,,,,370.0,,,,,,,,,,,,,145.71428571428572,,,145.71428571428572
KENTUCKY,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,149.0,130.0,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.7142857142857,,,,,,,,,,,,4298.0,4310.0,,5460.0,,,,190.35714285714286,,,190.35714285714286
LOUISIANA,,,,,,,,,,,,,,,,,,,,,,,,,,137.85714285714286,157.0,,1282.0,,,,,,,,,,,,,,103.0,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.0,,,,,310.71428571428567,,,,,42.1,,,,,,,,,,,,,,,,,
MAINE,,,,,,,114.28571428571429,,,,,,1440.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,130.0,178.0,,,,,,,,,,,,,,,,,105.35714285714286,,,,,,,,,,,,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARYLAND,,,,,,,119.64285714285714,,,,,,,,,,,,,,,,,,,153.57142857142856,,,,,,,,,,,,,,,,,157.0,145.0,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.2142857142857,,,,,,,,,,,,,,,,,,,176.78571428571428,,,176.78571428571428
MASSACHUSETTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823.3333333333334,,,,,,,,,,,,,165.0,161.0,187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHIGAN,,547.6666666666666,,,2000.0,,107.14285714285714,,,634.0,526.6666666666666,1737.3333333333333,,,259.6666666666667,,,,,,908.6666666666666,,,,,133.21428571428572,,,,,294.6666666666667,,,,,,,,,,,,160.0,125.0,184.0,,,,,,,,,,,,,,,,,129.64285714285714,,,,,,,,,,1110.0,,,,,,,,,697.9999999999999,,,,196.79999999999998,,320.0,,,,,,,314.64285714285717,,443.6666666666667,,35.0,,,,,,,,,,,,,,,186.07142857142856,,,186.07142857142856
MINNESOTA,,,,,,,156.42857142857142,119.64285714285714,157.14285714285714,700.0,1412.6666666666667,,,,,303.99999999999994,,,,,,,,,,116.42857142857142,,,,,,,,,,,,,,,,,142.0,105.0,155.0,,,,,,,,,,,,,,,,,93.92857142857142,,,,,,,,,,,,,,,,270.0,,,,,,,218.0,,,,,,164.28571428571428,,,296.07142857142856,,,,35.4,,396.0,,,211.63333333333333,,,,,,,,,,163.21428571428572,163.21428571428572,,
MISSISSIPPI,,,,,,,,,,,,,,,,,,,,,,,,,,137.85714285714286,163.0,,1208.0,,,,,,,,,,,,,,95.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.0,,,,,,,,,,,,,,238.0,,,,,314.2857142857143,,,,,,,,,,337.3333333333333,,,,,,,,,183.57142857142856,,,183.57142857142856
MISSOURI,,,,,,,,,,,,,,,,,,,,,,,,,,131.07142857142856,169.0,,1196.0,,,,,,,,,,,,,,120.0,114.0,152.0,,,,,,,,,,,,,,,,,139.28571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,241.99999999999997,,,,,312.5,,,,,,,,,,,,,,,,,,,184.64285714285714,,,184.64285714285714
MONTANA,,,,,,,158.2142857142857,105.0,163.21428571428572,,,,,,,283.99999999999994,,,,,,350.0,318.0,366.0,,132.14285714285714,,,,,,,280.35714285714283,,,,,,,,,,143.0,145.0,143.0,,,,,310.0,,,,,,,,,,,,112.14285714285714,,,,,,,,,,,,,,,177.8,,,,,,,,,,,,,,,347.99999999999994,,,,,,29.2,,,,,,,,,,,,,,,167.5,171.78571428571428,172.85714285714286,162.5
NEBRASKA,,,,,,,,,,634.0,,,,,,,,,,,,,,,,125.71428571428571,,,,,,,,,,,,,,,,,103.0,87.0,109.0,,,,,,,,,,,,,187.5,,,,110.35714285714285,,,,,,,,,,,,,,,213.99999999999997,,,,,,,,228.0,,,,,,,,111.6,295.35714285714283,,,,16.9,,373.99999999999994,420.0,360.0,,,,,,,,,,,138.57142857142856,,,138.57142857142856
NEVADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,171.0,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0,161.0,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW JERSEY,,,,,5120.0,,,,,,,2960.0,,,,,,,,,,,,,,153.57142857142856,,,,1100.6666666666667,,,,,,,,,,,,,187.0,179.0,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1430.0,,,,,,,,,721.6666666666666,,,,,,,,,,,,,301.7857142857143,453.99999999999994,1070.0,,,,,,,,,,,,,,,,,176.78571428571428,,,176.78571428571428
NEW MEXICO,,,,,,,,,,,,,,,,,,,,,,,,,,157.14285714285714,210.0,,,,,,,,,,,,,,,,223.0,182.0,231.0,,,,,,,,,,,,,,,,,,,,,,832.0,,,,,,,,548.0,,,,3759.9999999999995,,,792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.42857142857142,,,156.42857142857142
NEW YORK,,407.3333333333333,,,,,137.5,,,,737.3333333333334,,,,372.0,,,,,,1208.0,,,,,150.0,,,,,,,,,,,,,,,,,163.0,160.0,197.0,,,,,,,,,,,,,,,,,128.92857142857142,,,,,320.66666666666663,,,,,,,,,,,,,,,,,,,,453.99999999999994,,,,,,,303.57142857142856,,711.0,,,,,,,353.3333333333333,,,,,,,,,,196.42857142857142,,,196.42857142857142
NORTH CAROLINA,,,,,,,116.07142857142857,,,,,3400.0,,,,,,,,,,,,,,157.5,141.0,,1210.0,,314.0,,,,,,,,,,,,113.0,112.0,212.0,,,,,,,,,,,,282.0,,,,,110.71428571428571,,,,,,,,,,,,,442.0,,,,,,805.9999999999999,,,,,,312.0,,,,,,,311.0714285714286,,724.0,,,,,,,,398.3333333333333,,3740.0,4000.0,,,3740.0,,,189.28571428571428,,,189.28571428571428
NORTH DAKOTA,,,,,,,148.57142857142858,117.85714285714285,157.5,592.0,,,,,,296.0,,,,,,,,,,109.64285714285714,,,,,,,326.7857142857143,,,,,,,,,,83.0,66.0,88.0,,,,,278.0,,,,,,,,,,,,88.21428571428572,,,,,,,,,,,,,,,189.79999999999998,,,,,,,,284.2,,,,,,162.85714285714283,,,283.2142857142857,,,,38.0,,393.99999999999994,476.0,380.0,,,,,,,,,,,159.64285714285714,158.57142857142858,166.42857142857142,138.21428571428572
OHIO,,,,,,,,,,,,,,,,,,,,,,,,,,139.64285714285714,,,,,,,,,,,,,,,,,165.0,140.0,209.0,,,,,,,,,,,,,,,,,133.92857142857142,,,,,,,,,,,,,,,,,,,,,,,,,456.0,,,,,,,322.85714285714283,,,,,,,,,,,,,,,,,,,186.42857142857142,,,186.42857142857142
OKLAHOMA,,,,,,,,,,,,,,,,208.0,,,,,,,,,,142.85714285714286,152.0,,1242.0,,,,,,,,,,,,,,106.0,100.0,171.0,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,469.99999999999994,,,,2630.0,2500.0,,,,,,,,,,,294.6428571428571,,120.0,301.7857142857143,,,,,,,,,,,,,,,,,,,153.92857142857142,,,153.92857142857142
OREGON,,424.0,,,,,135.7142857142857,,,,306.0,1787.3333333333333,,,,,,,,1166.6666666666667,,,,,,155.0,,,,1072.0,,,,,,,,,,,,,197.0,190.0,200.0,1920.0,11000.0,,,,,,,,,,,,39400.0,31800.0,,,,,,,149.73333333333332,,,,,,,,,416.6666666666667,,231.99999999999997,,,,,,,184.79999999999998,,234.33333333333334,,,,,,,,,318.46666666666664,,50.9,,,,,252.79999999999998,,,,,,,,,,204.64285714285717,,,204.64285714285717
OTHER STATES,,,926.0,0.0,1930.0,1709.0,,,,,761.0,2732.9999999999995,,,430.6666666666667,0.0,298.45,891.5,,,1730.0,612.0,660.0,263.99999999999994,,,,2120.0,,,433.6666666666667,3300.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,221.99999999999997,0.0,130.33333333333334,,,31000.0,,98.21428571428571,,,,,253.0,,,,,902.5,,,,,211.99999999999997,1963.0,,,663.5,799.5,,,,,286.0,3431.0,,231.99999999999997,219.64285714285714,,,,786.6666666666666,583.0,1828.0,,,0.0,450.0,386.0,,,,,0.0,,,0.0,,,,,,
PENNSYLVANIA,,430.3333333333333,,,,,139.28571428571428,,,,504.0,,,,,,,,,,,,,,,147.5,,,,,,,,,,,,,,,,,184.0,176.0,226.0,,,,,,,,,,,,,,,,,149.28571428571428,,,,,,,,,,1034.3333333333333,,,,,,,,,,,,,,,517.9999999999999,,,,210.71428571428572,,,303.57142857142856,,,,,,,,,,,,5260.0,3990.0,6740.0,,,,,199.99999999999997,,,199.99999999999997
RHODE ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.0,161.0,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH CAROLINA,,,,,,,,,,,,,,,,,,,,,,,,,,165.7142857142857,124.0,,1188.0,,,,,,,,,,,,,,142.0,142.0,,,,,,,,,,,,,230.0,,,,,,,,,,,,,,,1350.0,,,411.99999999999994,,,,,,,,,,,,,,,,,,,328.57142857142856,,,,,,,,,,,,3660.0,,,,3660.0,,,183.92857142857144,,,183.92857142857144
SOUTH DAKOTA,,,,,,,126.78571428571428,,,,,,,,,,,,,,,,,,,118.57142857142857,,,,,,,,,,,,,,,,,102.0,85.0,108.0,,,,,,,,,,,,,184.28571428571428,,,,100.35714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.0,119.0,293.5714285714286,,,,,,390.0,,,,,,,,,,,,,161.78571428571428,168.21428571428572,,156.78571428571428
TENNESSEE,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,157.0,,1178.0,,,,,,,,,,,,,,112.0,111.0,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,,,,,,,,,,,,5010.0,4230.0,,5480.0,,,,194.64285714285714,,,194.64285714285714
TEXAS,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,167.0,,1162.0,,,,,,496.5,,,,,,,,130.0,117.0,187.0,,,,,,,,,,,,167.99999999999997,,,,,152.14285714285714,,,,,346.0,427.8571428571428,385.7142857142857,747.8571428571429,,,,,562.0,,,,4160.0,2000.0,,,,,248.0,,,,256.0,,,,129.79999999999998,275.0,,,,,19.5,366.0,400.0,360.0,,,,,,,,,,,158.57142857142858,,,158.57142857142858
UTAH,,,,,,,132.14285714285714,,,,,,,,,,,,,,312.0,,,,,153.57142857142856,,,,,,,,,,,,,,,,,181.0,144.0,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.0,,,,,,,,,,,,,,,,,,,,,176.78571428571428,,,176.78571428571428
VERMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.0,161.0,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIRGINIA,,372.0,,,,,107.14285714285714,,,,,,,,,,,,,,,,,,,146.42857142857142,135.0,,1212.0,,,,,,,,,,,,,,126.0,122.0,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.0,,,,,,,,,,,,363.99999999999994,,,,,,,314.2857142857143,,,,,,,,,,,,3850.0,3779.9999999999995,,4500.0,3840.0,,,180.35714285714286,,,180.35714285714286
WASHINGTON,,444.0,1300.0,,1920.0,,181.42857142857142,111.78571428571428,202.5,715.9999999999999,,2200.6666666666665,,,,312.0,594.6666666666666,,,1406.6666666666667,422.0,350.0,357.99999999999994,323.99999999999994,,147.5,,,,,,,,,,,,785.0,225.0,,,1320.0,193.0,182.0,197.0,,11600.0,,,360.0,,,,,,,,,38600.0,34800.0,,,,,,,266.0,,,,,1190.0,,,,419.3333333333333,246.0,316.0,,,,,,,170.0,,777.9999999999999,1118.0,,,,,,,,,,50.9,,,,,292.6666666666667,,,,,,,,,,197.5,207.14285714285714,,195.71428571428572
WEST VIRGINIA,,,,,,,,,,,,,,,,,,,,,,,,,,146.42857142857142,,,,,,,,,,,,,,,,,114.0,110.0,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISCONSIN,,,,,,,187.5,,,,334.2666666666666,,,,236.0,,87.2,,,,218.0,,,,,122.5,,,,1022.0,,,,,,,,,,,,,185.0,145.0,197.0,,,,,,,,,,,,,,,,,111.78571428571428,,,,,,,,,,,,,,,,2010.0,,,,,,,239.33333333333334,,,,,,250.0,,,300.7142857142857,,,,,,,,,190.9333333333333,,,,,,,,,,162.14285714285714,,,162.14285714285714
WYOMING,,,,,,,175.0,104.64285714285715,177.5,534.0,,,,,,,,,,,,,,,,123.21428571428572,,,,,,,,,,,,,,,,,176.0,150.0,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,,,,,,,,,,,,,,,140.71428571428572,,,140.71428571428572
